,features,spliced_features,unspliced_features,gene_count_corr,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes,spearmans_score,velocity_score
SRGAP1,SRGAP1,SRGAP1,SRGAP1,0.1533,0.8056976199150085,0.4325614695124167,0.2939934799088228,0.5110094303196503,8.81019421169813,0.9991379606723786,0.3511311113834381,0.16341684758663177,0.015274391193646385,0.0,0.0,0.49807934389351327,2.7059692501632764,1.1961352924800253,10.976728330371271,1.5281368889358407,True,0.6819876231492664,0
RPL18A,RPL18A,RPL18A,RPL18A,0.0528,-0.10015976428985596,,,,,,,,,,,,,,,,False,0.11439251162301471,0
XPOT,XPOT,XPOT,XPOT,-0.0472,-0.02127206325531006,,,,,,,,,,,,,,,,False,0.3215065309891242,0
TBK1,TBK1,TBK1,TBK1,-0.0346,-0.07572388648986816,,,,,,,,,,,,,,,,False,0.11084094820181749,0
RASSF3,RASSF3,RASSF3,RASSF3,0.0244,0.2996940016746521,0.07711926297744402,0.2649027970402861,0.2332883719072754,8.593312984865422,1.9452006459236144,0.08618748188018799,0.06424625217914581,0.20133823406075474,0.0,0.0,0.3788206252050081,0.25542391015216465,0.2513969573112012,0.9728125176948439,2.8139543855393647,True,0.4998424453984123,0
GNS,GNS,GNS,GNS,-0.0419,-0.039540886878967285,,,,,,,,,,,,,,,,False,0.10827361633819445,0
ENSGALG00000009859.5,ENSGALG00000009859.5,ENSGALG00000009859.5,ENSGALG00000009859.5,-0.0038,-0.2611243724822998,,,,,,,,,,,,,,,,False,0.4915951685040619,0
LEMD3,LEMD3,LEMD3,LEMD3,-0.0278,-1.2828412055969238,,,,,,,,,,,,,,,,False,0.1276479836403673,0
HMGA2,HMGA2,HMGA2,HMGA2,0.0583,-0.3579760789871216,,,,,,,,,,,,,,,,False,0.4408804346469311,0
ENSGALG00000009879.6,ENSGALG00000009879.6,ENSGALG00000009879.6,ENSGALG00000009879.6,-0.0838,-0.02106475830078125,,,,,,,,,,,,,,,,False,0.2828904877015715,0
HELB,HELB,HELB,HELB,-0.0353,-0.049912095069885254,,,,,,,,,,,,,,,,False,0.33096660928723814,0
GRIP1,GRIP1,GRIP1,GRIP1,-0.0376,-0.5351325273513794,,,,,,,,,,,,,,,,False,0.4715800328692352,0
ENSGALG00000033879.2,ENSGALG00000033879.2,ENSGALG00000033879.2,ENSGALG00000033879.2,0.0714,-0.49340128898620605,,,,,,,,,,,,,,,,False,0.09867593705503551,0
DYRK2,DYRK2,DYRK2,DYRK2,-0.0441,0.05122566223144531,0.11471030346500125,0.5637525512394785,0.1695847037131657,11.793965338780492,0.6041300654411316,0.07814960926771164,0.15846467018127441,0.2457487534678181,0.0,0.0,0.22951842770818698,0.2253114421490104,0.4260071270681661,0.8680256568534976,3.425530350602463,True,0.4897852817327622,0
MDM1,MDM1,MDM1,MDM1,0.0297,-0.04699993133544922,,,,,,,,,,,,,,,,False,0.33506087762505354,0
RAP1B,RAP1B,RAP1B,RAP1B,0.0505,-0.3611183166503906,,,,,,,,,,,,,,,,False,0.07896574307371665,0
