,features,spliced_features,unspliced_features,gene_count_corr,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes,spearmans_score,velocity_score
SRGAP1,SRGAP1,SRGAP1,SRGAP1,0.1949,0.8878370001912117,2.313421731285721,0.2975247022706946,0.7266139110693186,5.182193344200418,1.208994634151459,1.0263258218765259,0.3947424590587616,0.1527044510376814,0.0,0.0,0.4965682289036669,7.146992209842579,2.421598444997879,1.0820540074085778,1.1884713489478076,True,0.8231723845072301,0
RPL18A,RPL18A,RPL18A,RPL18A,0.0816,-0.08431553840637207,,,,,,,,,,,,,,,,False,0.09231520143364226,0
XPOT,XPOT,XPOT,XPOT,-0.011,-0.13926303386688232,,,,,,,,,,,,,,,,False,0.18334734329940552,0
TBK1,TBK1,TBK1,TBK1,0.0084,-0.09131431579589844,,,,,,,,,,,,,,,,False,0.0439174189622773,0
RASSF3,RASSF3,RASSF3,RASSF3,0.0267,0.2758307456970215,0.09575347146609896,0.22967373979182767,0.2878075749097119,8.373289779854762,2.9721913758913683,0.14045506715774536,0.07080584019422531,0.18414069554497,0.0,0.0,0.4190163275382592,0.40174855181570884,0.25349071612260465,1.0979648900504833,2.01791791371827,True,0.6152283466143781,26
GNS,GNS,GNS,GNS,-0.0216,-0.05944263935089111,,,,,,,,,,,,,,,,False,0.08575413457909384,0
ENSGALG00000009859.5,ENSGALG00000009859.5,ENSGALG00000009859.5,ENSGALG00000009859.5,0.0143,0.19121462106704712,0.056934494007604766,0.06890824679975918,0.24863281624526487,8.71674958357823,7.40697169303894,0.2803505063056946,0.04163450002670288,0.2732429890426708,0.0,0.0,0.07912438403281297,0.6577474875129103,0.1192291766035788,0.7081206670692088,2.155166360989979,True,0.5679919263001897,0
LEMD3,LEMD3,LEMD3,LEMD3,-0.0175,-0.8940422534942627,,,,,,,,,,,,,,,,False,0.19805593853142384,0
HMGA2,HMGA2,HMGA2,HMGA2,0.0274,-0.10991382598876953,,,,,,,,,,,,,,,,False,0.5711054185092539,0
ENSGALG00000009879.6,ENSGALG00000009879.6,ENSGALG00000009879.6,ENSGALG00000009879.6,-0.0613,-0.0467529296875,,,,,,,,,,,,,,,,False,0.23400873371458014,0
HELB,HELB,HELB,HELB,-0.0362,-0.28944098949432373,,,,,,,,,,,,,,,,False,0.20747060222672248,0
GRIP1,GRIP1,GRIP1,GRIP1,-0.0524,-0.24999749660491943,,,,,,,,,,,,,,,,False,0.568919485419279,0
ENSGALG00000033879.2,ENSGALG00000033879.2,ENSGALG00000033879.2,ENSGALG00000033879.2,0.1465,-0.5965588092803955,,,,,,,,,,,,,,,,False,0.14726580884233365,0
